population,poverty_count,household_income,per_capita_income,zipcode,poverty_rate
28926.0,7422.0,25362.0,33854.0,94102,25.658577058701514
24309.0,5673.0,43321.0,49601.0,94103,23.337035665802787
304.0,66.0,,84310.0,94104,21.710526315789473
6108.0,458.0,172570.0,153109.0,94105,7.498362802881467
28641.0,3394.0,121167.0,74668.0,94107,11.850144897175378
14252.0,3440.0,40435.0,49391.0,94108,24.136963233230425
56293.0,7569.0,66276.0,65539.0,94109,13.445721492903203
72528.0,9421.0,90364.0,51616.0,94110,12.989466137215972
3527.0,510.0,91603.0,87861.0,94111,14.459880918627729
84145.0,8737.0,72545.0,28391.0,94112,10.383266979618515
32598.0,2140.0,125265.0,88191.0,94114,6.564819927602921
35154.0,4861.0,89811.0,72466.0,94115,13.827729419127268
45559.0,4625.0,87321.0,46587.0,94116,10.151671458987247
42462.0,3836.0,108429.0,65866.0,94117,9.033959775799538
41391.0,4911.0,86999.0,56848.0,94118,11.864898166268029
42622.0,4461.0,69813.0,44887.0,94121,10.46642578949838
60929.0,5845.0,90514.0,45052.0,94122,9.593132990858212
25273.0,1484.0,124231.0,92468.0,94123,5.871879080441578
35010.0,7944.0,49945.0,23276.0,94124,22.690659811482433
19446.0,1370.0,131842.0,66593.0,94127,7.045150673660393
99.0,60.0,,3612.0,94128,60.60606060606061
3639.0,150.0,163786.0,72113.0,94129,4.122011541632316
3187.0,1525.0,40769.0,14644.0,94130,47.850643238155
28472.0,1741.0,101496.0,66815.0,94131,6.114779432424839
32031.0,5805.0,70627.0,32147.0,94132,18.12306827760607
27485.0,5241.0,54496.0,48803.0,94133,19.068582863380026
40701.0,5810.0,62773.0,25921.0,94134,14.274833542173411
5747.0,1061.0,79650.0,60453.0,94158,18.461806159735513
