population,poverty_count,household_income,per_capita_income,zipcode,poverty_rate
24754,6221,22159,28747,94102,25.131291912418195
23361,5135,42801,35052,94103,21.9810795770729
286,89,25568,37798,94104,31.11888111888112
4225,254,120257,112903,94105,6.011834319526627
27185,3374,113974,72693,94107,12.411256207467353
13851,3292,33191,44488,94108,23.767237022597648
53809,8381,58106,57104,94109,15.57546135404858
70174,8088,76963,42415,94110,11.525636275543649
3562,461,92446,77787,94111,12.942167321729366
79915,7262,72467,26258,94112,9.08715510229619
32175,2320,111815,80073,94114,7.210567210567211
32180,4381,72429,66467,94115,13.614045991298944
43980,3341,83657,38397,94116,7.596634834015462
41214,4743,85151,55363,94117,11.508225360314457
38529,3712,74967,54805,94118,9.634301435282515
44169,4134,77612,42859,94121,9.359505535556613
56859,4594,79441,40542,94122,8.079635589792293
22350,1277,104485,94073,94123,5.713646532438479
33558,6980,46025,20680,94124,20.799809285416295
19300,584,138003,64835,94127,3.0259067357512954
31,0,,,94128,0.0
2690,154,118110,69270,94129,5.724907063197026
2300,594,35417,18810,94130,25.82608695652174
27718,2115,92755,61268,94131,7.630420665271664
30306,5168,69560,33008,94132,17.052728832574406
27357,5077,50378,45077,94133,18.558321453375736
39032,4680,57075,23659,94134,11.990161918425907
3144,390,68214,52188,94158,12.404580152671755
