population,poverty_count,household_income,per_capita_income,zipcode,poverty_rate
29319.0,7147.0,29456.0,38769.0,94102,24.376684061530067
25747.0,5977.0,46140.0,53092.0,94103,23.21435507049365
489.0,85.0,51500.0,73914.0,94104,17.38241308793456
6793.0,440.0,195165.0,155649.0,94105,6.477255998822317
29384.0,3154.0,129152.0,79363.0,94107,10.733732643615573
14704.0,3144.0,46218.0,47611.0,94108,21.381936887921654
56019.0,7465.0,71043.0,69520.0,94109,13.325835877113123
73511.0,8792.0,97563.0,54412.0,94110,11.960114812749113
3432.0,382.0,104083.0,97985.0,94111,11.13053613053613
84001.0,7878.0,77388.0,29827.0,94112,9.37845978024071
33504.0,2030.0,131442.0,93357.0,94114,6.058978032473735
34681.0,4451.0,97090.0,75968.0,94115,12.834116663302673
45936.0,4435.0,91930.0,48311.0,94116,9.65473702542668
43323.0,3783.0,122266.0,71446.0,94117,8.73208226577107
41662.0,4731.0,94197.0,61352.0,94118,11.355671835245548
42720.0,4473.0,77280.0,48135.0,94121,10.470505617977528
62029.0,5689.0,97091.0,48951.0,94122,9.171516548711086
25238.0,1279.0,130589.0,100009.0,94123,5.067754972660274
35446.0,7194.0,53322.0,24372.0,94124,20.295661005473114
20664.0,1250.0,138381.0,70001.0,94127,6.049167634533489
119.0,75.0,-666666666.0,12120.0,94128,63.02521008403362
3762.0,153.0,174564.0,87133.0,94129,4.0669856459330145
3090.0,1588.0,49271.0,15886.0,94130,51.3915857605178
28350.0,1680.0,111083.0,71592.0,94131,5.925925925925926
31289.0,6065.0,68711.0,31934.0,94132,19.383809006360064
27491.0,5171.0,55098.0,50806.0,94133,18.809792295660397
41677.0,4878.0,66925.0,26103.0,94134,11.704297334261103
5995.0,840.0,102237.0,72038.0,94158,14.011676396997498
