population,poverty_count,household_income,per_capita_income,zipcode,poverty_rate
25531.0,6972.0,22252.0,29663.0,94102,27.307978535897536
23909.0,5230.0,44145.0,37409.0,94103,21.87460788824292
305.0,123.0,26223.0,59875.0,94104,40.32786885245902
4801.0,148.0,142389.0,137573.0,94105,3.0826911060195794
26762.0,2851.0,117556.0,76010.0,94107,10.653164935356102
13518.0,3216.0,33979.0,46835.0,94108,23.790501553484244
54412.0,8655.0,58915.0,58436.0,94109,15.906417701977505
70804.0,9695.0,79516.0,43148.0,94110,13.692729224337608
3493.0,331.0,93393.0,87934.0,94111,9.476095047237331
80726.0,7639.0,72396.0,26009.0,94112,9.462874414686718
32328.0,2251.0,115734.0,79257.0,94114,6.963004206879485
32882.0,4627.0,73797.0,67959.0,94115,14.071528495833586
43923.0,3815.0,82648.0,39549.0,94116,8.685654440725816
40932.0,4857.0,91303.0,57374.0,94117,11.866021694517737
39567.0,4433.0,81545.0,56722.0,94118,11.20378092855157
43597.0,4558.0,72371.0,41575.0,94121,10.454847810629172
57805.0,5317.0,77889.0,39685.0,94122,9.198166248594413
23710.0,1426.0,107226.0,90914.0,94123,6.014339940953184
34296.0,7561.0,46692.0,21267.0,94124,22.046302775833915
19075.0,888.0,128079.0,64043.0,94127,4.655307994757536
48.0,24.0,,,94128,50.0
2730.0,267.0,121313.0,70166.0,94129,9.780219780219781
2501.0,839.0,36553.0,20228.0,94130,33.546581367453015
27914.0,2167.0,94770.0,59496.0,94131,7.763129612380884
31425.0,6005.0,67943.0,31753.0,94132,19.10898965791567
27580.0,5261.0,46841.0,42335.0,94133,19.075416968817983
38889.0,4875.0,59690.0,23585.0,94134,12.535678469490087
4340.0,777.0,64594.0,51690.0,94158,17.903225806451612
